epoch,batch,loss
1,20,0.6920691728591919
1,40,0.6948609352111816
1,60,0.6919070482254028
1,80,0.6933155655860901
1,100,0.6934694051742554
1,120,0.6884434223175049
1,140,0.6854965686798096
2,3,0.4150444567203522
2,23,0.047630321234464645
2,43,0.010692451149225235
2,63,0.0062137870118021965
2,83,0.004612290300428867
2,103,0.0037355460226535797
2,123,0.0031490586698055267
2,143,0.002640971215441823
3,6,0.002335834549739957
3,26,0.002035262528806925
3,46,0.0018174282740801573
3,66,0.0016178207006305456
3,86,0.0014671918470412493
3,106,0.0013393445406109095
3,126,0.0012254470493644476
3,146,0.0011291608680039644
